iter	RMSE
0	0.2382608044
1	0.2375018355
2	0.2367538406
3	0.2360551304
4	0.2354456244
5	0.2347750319
6	0.2341477086
7	0.2335288507
8	0.2329113063
9	0.2323261272
10	0.2318511833
11	0.2313015963
12	0.2307652267
13	0.230318327
14	0.2298109034
15	0.2293152647
16	0.2288186132
17	0.2283805157
18	0.2279510576
19	0.2275035064
20	0.2271008619
21	0.2266979509
22	0.2263206874
23	0.2258957032
24	0.2254741086
25	0.2251190549
26	0.224745764
27	0.2243557896
28	0.224031733
29	0.223720382
30	0.2234252151
31	0.2231181033
32	0.2227938475
33	0.2224904653
34	0.2221899017
35	0.2218718165
36	0.2215655015
37	0.2212846927
38	0.2210413467
39	0.2207534005
40	0.2204606808
41	0.2202109306
42	0.2199636869
43	0.2197264657
44	0.2195090218
45	0.2193065933
46	0.2190760982
47	0.2188485674
48	0.2186190775
49	0.2184270163
50	0.2182362328
51	0.2180130875
52	0.2178109616
53	0.2176195503
54	0.21739956
55	0.2172212152
56	0.2170189496
57	0.2168398148
58	0.2166597946
59	0.2164516141
60	0.2162741814
61	0.2161118546
62	0.2159344403
63	0.2157900082
64	0.2156194122
65	0.2154911557
66	0.2153331604
67	0.2151858128
68	0.2150308742
69	0.2148687018
70	0.2147135177
71	0.2145765174
72	0.21442954
73	0.2142850975
74	0.2141346293
75	0.2139826429
76	0.2138543572
77	0.2137092375
78	0.2135820144
79	0.2134432348
80	0.2132807998
81	0.2131294931
82	0.2130065109
83	0.2128733205
84	0.2127557474
85	0.2126321081
86	0.212515445
87	0.2123944041
88	0.2122535454
89	0.2121461843
90	0.2119885848
91	0.2118820335
92	0.2117652369
93	0.2116569745
94	0.2115629472
95	0.2114679275
96	0.2113315166
97	0.2112101684
98	0.2111200048
99	0.2109944864
100	0.2108747626
101	0.2107829968
102	0.2106783939
103	0.2105558046
104	0.2104454253
105	0.2103648177
106	0.2102800897
107	0.210196691
108	0.210109518
109	0.2100218349
110	0.2099258873
111	0.2098154356
112	0.2097252246
113	0.2096345472
114	0.2095155865
115	0.2094417275
116	0.2093489883
117	0.2092637038
118	0.2091937731
119	0.2091189125
120	0.20905442
121	0.2089421673
122	0.2088426922
123	0.2087610011
124	0.2086513624
125	0.2085752796
126	0.2085017334
127	0.2084107864
128	0.2083457656
129	0.2082665365
130	0.2081965532
131	0.208073162
132	0.2080128157
133	0.2079519011
134	0.2078901769
135	0.2078335143
136	0.2077294381
137	0.2076330014
138	0.2075687829
139	0.2074980683
140	0.2074320277
141	0.2073576191
142	0.2072967737
143	0.2072139982
144	0.2071251664
145	0.2070244151
146	0.2069210048
147	0.2068545434
148	0.2067834618
149	0.2067163384
150	0.2066499395
151	0.2065926736
152	0.2065338827
153	0.2064891886
154	0.2064471068
155	0.2063601232
156	0.2063144134
157	0.2062658471
158	0.2061859383
159	0.2061447498
160	0.2060978334
161	0.2060585052
162	0.2060167141
163	0.205936195
164	0.2058982033
165	0.2058522378
166	0.2058073559
167	0.2057578251
168	0.2056774014
169	0.2056263196
170	0.2055882075
171	0.2054940408
172	0.2054387231
173	0.2053706365
174	0.2053033278
175	0.2052392005
176	0.2051681689
177	0.2051319012
178	0.205095431
179	0.2050453197
180	0.2050001563
181	0.2049394042
182	0.2048815936
183	0.2048249309
184	0.2047821467
185	0.2047413508
186	0.2046918012
187	0.2046587415
188	0.2045906723
189	0.2045440642
190	0.2045128194
191	0.2044626606
192	0.2044282925
193	0.2043839726
194	0.2043229189
195	0.2042869927
196	0.2042418213
197	0.2041995062
198	0.2041427763
199	0.2041068135
200	0.2040348073
201	0.2040049702
202	0.2039441734
203	0.203904806
204	0.2038562669
205	0.203811952
206	0.2037673364
207	0.2036867361
208	0.2036517931
209	0.2035921142
210	0.2035534632
211	0.2035240616
212	0.2034860459
213	0.2034472967
214	0.2033672968
215	0.2033373576
216	0.2032820143
217	0.2032095295
218	0.2031546688
219	0.2030895575
220	0.203060907
221	0.2030315366
222	0.2029878228
223	0.2029499355
224	0.2029218139
225	0.2028797496
226	0.2028558563
227	0.2028125151
228	0.2027644349
229	0.2027399226
230	0.2026855201
231	0.2026516894
232	0.2026189028
233	0.2025480952
234	0.2025145707
235	0.2024600263
236	0.2024262855
237	0.2023759056
238	0.2023503128
239	0.2023118417
240	0.2022818263
241	0.2022442088
242	0.2022120416
243	0.2021740444
244	0.2021473838
245	0.2021173099
246	0.202085402
247	0.2020601824
248	0.2020253069
249	0.2020075639
250	0.2019890762
251	0.2019705356
252	0.2019140826
253	0.201838934
254	0.2018086854
255	0.2017848943
256	0.2017549541
257	0.2017201852
258	0.2016858591
259	0.2016366054
260	0.2016113384
261	0.2015837002
262	0.2015501957
263	0.2015180469
264	0.2014954194
265	0.2014444944
266	0.2014024218
267	0.2013768946
268	0.201354713
269	0.2012864684
270	0.2012412271
271	0.201210027
272	0.2011539357
273	0.2011307657
274	0.2010996467
275	0.2010709103
276	0.2010519374
277	0.2010312661
278	0.2009860147
279	0.200961609
280	0.2009090597
281	0.2008779559
282	0.200835546
283	0.2007975402
284	0.2007569567
285	0.2007319566
286	0.2007131181
287	0.2006734714
288	0.2006134339
289	0.2005874623
290	0.2005696015
291	0.200543774
292	0.2005224554
293	0.2004739301
294	0.2004469765
295	0.2004010659
296	0.2003775774
297	0.2003376922
298	0.2003172637
299	0.2002993536
300	0.2002767903
301	0.2002506177
302	0.2002354669
303	0.2002101215
304	0.2001856388
305	0.200166402
306	0.2001453781
307	0.2000832322
308	0.2000394895
309	0.2000170125
310	0.1999917541
311	0.199963645
312	0.1999425464
313	0.1999040461
314	0.1998840274
315	0.1998580045
316	0.1998336038
317	0.1998151426
318	0.1997823504
319	0.1997571041
320	0.1997139725
321	0.1996842948
322	0.1996359684
323	0.1996154815
324	0.199587571
325	0.1995624255
326	0.1995243236
327	0.199483295
328	0.1994657426
329	0.1994364502
330	0.1994239131
331	0.1994053565
332	0.1993779695
333	0.199359072
334	0.1993374628
335	0.1993167917
336	0.1992981482
337	0.199233351
338	0.1992047517
339	0.1991712989
340	0.1991483077
341	0.1991332441
342	0.1991091221
343	0.1990752206
344	0.1990427685
345	0.1990215076
346	0.1990033124
347	0.1989834189
348	0.1989625726
349	0.1989478323
350	0.1989203052
351	0.1988636072
352	0.1988129014
353	0.1987908394
354	0.1987756098
355	0.1987276826
356	0.1987081943
357	0.1986858922
358	0.1986589199
359	0.1986399027
360	0.19861951
361	0.1985914302
362	0.1985728801
363	0.1985557605
364	0.1985362224
365	0.1985206446
366	0.1984692644
367	0.1984523485
368	0.1984340357
369	0.1984160336
370	0.1984038371
371	0.198378884
372	0.1983400606
373	0.198313877
374	0.1982944799
375	0.1982674894
376	0.1982329147
377	0.198222479
378	0.1981991689
379	0.1981821759
380	0.1981280027
381	0.1981102131
382	0.198097847
383	0.1980816837
384	0.1980647689
385	0.1980252986
386	0.1980155868
387	0.1979807755
388	0.1979383472
389	0.1979250455
390	0.1979034778
391	0.1978770845
392	0.1978555069
393	0.197840765
394	0.1978156866
395	0.1977962337
396	0.1977388121
397	0.1977242429
398	0.1976995957
399	0.1976851237
400	0.1976780473
401	0.1976490066
402	0.1976322161
403	0.1976146047
404	0.1975815424
405	0.1975632294
406	0.1975457336
407	0.1975326358
408	0.1974857319
409	0.1974406431
410	0.1974082883
411	0.197389935
412	0.1973587745
413	0.1973409474
414	0.1973242739
415	0.1972997987
416	0.1972808213
417	0.1972584885
418	0.1972363387
419	0.1972187546
420	0.1971859619
421	0.1971728831
422	0.1971368356
423	0.1971228908
424	0.1971086202
425	0.1970921933
426	0.1970687979
427	0.1970210517
428	0.196985349
429	0.196943642
430	0.1969204939
431	0.1969018002
432	0.1968919826
433	0.1968656338
434	0.1968526076
435	0.1968170191
436	0.1967946178
437	0.1967828374
438	0.1967728725
439	0.1967591026
440	0.1967299855
441	0.1966970172
442	0.1966662521
443	0.1966452425
444	0.1966327148
445	0.1966124714
446	0.1965953354
447	0.1965869292
448	0.1965520925
449	0.1965427846
450	0.1965249837
451	0.1965100268
452	0.1964981102
453	0.1964737421
454	0.1964591804
455	0.1964421097
456	0.1964179792
457	0.1963955067
458	0.1963709262
459	0.1963559566
460	0.1963239665
461	0.1963098927
462	0.1962902491
463	0.1962688045
464	0.1962538033
465	0.1962359836
466	0.1962169706
467	0.1962006648
468	0.1961869101
469	0.196156861
470	0.19614345
471	0.1961380317
472	0.1961095312
473	0.1960853956
474	0.1960767775
475	0.1960657578
476	0.1960532241
477	0.1960314132
478	0.1960093202
479	0.1959988991
480	0.1959895148
481	0.1959606068
482	0.1959519826
483	0.1959468399
484	0.1959361629
485	0.1959255487
486	0.1958949533
487	0.1958808904
488	0.1958687647
489	0.1958609706
490	0.1958162645
491	0.1957964603
492	0.1957887829
493	0.19577046
494	0.1957506258
495	0.1957392844
496	0.1957223475
497	0.1957041793
498	0.195690966
499	0.1956785993
