iter	Passed	Remaining
0	24	49472
1	48	48119
2	73	48976
3	97	48475
4	122	48917
5	153	50861
6	186	53124
7	212	52932
8	237	52463
9	259	51592
10	284	51402
11	310	51503
12	336	51427
13	362	51472
14	388	51371
15	416	51605
16	437	51077
17	461	50763
18	483	50389
19	505	50065
20	528	49799
21	553	49802
22	576	49571
23	598	49299
24	624	49338
25	647	49197
26	671	49105
27	698	49174
28	724	49211
29	748	49158
30	771	48997
31	793	48804
32	824	49171
33	858	49650
34	894	50224
35	924	50412
36	957	50773
37	990	51119
38	1019	51258
39	1043	51154
40	1067	51016
41	1096	51101
42	1126	51286
43	1151	51190
44	1172	50932
45	1198	50926
46	1220	50730
47	1242	50540
48	1266	50413
49	1287	50223
50	1310	50088
51	1333	49968
52	1356	49821
53	1378	49677
54	1402	49582
55	1425	49470
56	1448	49367
57	1470	49247
58	1493	49129
59	1516	49018
60	1538	48888
61	1560	48783
62	1583	48679
63	1605	48556
64	1630	48525
65	1653	48459
66	1676	48368
67	1698	48268
68	1721	48166
69	1743	48061
70	1765	47956
71	1787	47856
72	1810	47797
73	1833	47715
74	1854	47596
75	1876	47514
76	1901	47490
77	1924	47429
78	1955	47554
79	1980	47526
80	2002	47435
81	2024	47349
82	2047	47292
83	2070	47225
84	2092	47141
85	2114	47070
86	2137	46998
87	2160	46934
88	2182	46869
89	2210	46902
90	2232	46834
91	2255	46770
92	2277	46694
93	2300	46637
94	2322	46572
95	2345	46515
96	2367	46443
97	2390	46395
98	2413	46336
99	2437	46317
100	2463	46313
101	2484	46225
102	2512	46274
103	2559	46666
104	2612	47142
105	2650	47351
106	2678	47393
107	2706	47406
108	2733	47428
109	2763	47474
110	2795	47576
111	2826	47649
112	2864	47838
113	2899	47969
114	2935	48121
115	2970	48239
116	2998	48260
117	3025	48255
118	3048	48179
119	3069	48083
120	3091	48012
121	3113	47933
122	3136	47860
123	3158	47786
124	3182	47734
125	3207	47700
126	3231	47663
127	3254	47591
128	3277	47532
129	3299	47469
130	3322	47396
131	3343	47318
132	3365	47243
133	3389	47195
134	3410	47109
135	3432	47050
136	3454	46982
137	3477	46920
138	3498	46845
139	3521	46791
140	3544	46731
141	3566	46665
142	3589	46611
143	3612	46556
144	3638	46543
145	3660	46478
146	3683	46437
147	3706	46375
148	3728	46321
149	3751	46271
150	3775	46227
151	3797	46171
152	3820	46123
153	3842	46055
154	3863	45989
155	3885	45933
156	3910	45900
157	3932	45850
158	3962	45879
159	3984	45826
160	4009	45793
161	4032	45748
162	4054	45696
163	4076	45640
164	4098	45581
165	4119	45518
166	4142	45467
167	4166	45430
168	4187	45365
169	4210	45325
170	4233	45283
171	4254	45218
172	4276	45163
173	4299	45121
174	4321	45063
175	4343	45015
176	4365	44964
177	4387	44908
178	4408	44848
179	4434	44837
180	4457	44801
181	4479	44743
182	4500	44687
183	4522	44638
184	4545	44597
185	4569	44563
186	4591	44517
187	4612	44456
188	4638	44443
189	4661	44409
190	4683	44359
191	4704	44302
192	4726	44253
193	4749	44210
194	4771	44171
195	4793	44123
196	4817	44092
197	4843	44079
198	4865	44035
199	4888	43999
200	4912	43968
201	4939	43967
202	4962	43926
203	4983	43873
204	5003	43812
205	5025	43766
206	5047	43721
207	5068	43666
